,Country,City,Code,Name,Airport
194,Uruguay,Montevideo,MVD,Carrasco,"Uruguay, Montevideo, Carrasco"
195,USA,Orlando,MCO,International,"USA, Orlando, International"
196,USA,Atlanta,ATL,Hartsfield Int.,"USA, Atlanta, Hartsfield Int."
197,USA,Baltimore,BWI,Baltimore-Wash Int.,"USA, Baltimore, Baltimore-Wash Int."
198,USA,Boston,BOS,Logan Int.,"USA, Boston, Logan Int."
199,USA,Chicago,ORD,O'Hare-International,"USA, Chicago, O'Hare-International"
200,USA,Chicago,MDW,Midway,"USA, Chicago, Midway"
201,USA,Chicago,CGX,Meigs Field,"USA, Chicago, Meigs Field"
202,USA,Dallas,DFW,Dallas/Ft.Worth Int.,"USA, Dallas, Dallas/Ft.Worth Int."
203,USA,Houston,HOU,Hobby,"USA, Houston, Hobby"
204,USA,Houston,IAH,George Bush,"USA, Houston, George Bush"
205,USA,Los Angeles,LAX,International,"USA, Los Angeles, International"
206,USA,Memphis,MEM,International,"USA, Memphis, International"
207,USA,Miami,MIA,International,"USA, Miami, International"
208,USA,Nueva Orleans,MSY,International,"USA, Nueva Orleans, International"
209,USA,Nueva York,JFK,J. F. Kennedy Int.,"USA, Nueva York, J. F. Kennedy Int."
210,USA,Nueva York,LGA,La Guardia,"USA, Nueva York, La Guardia"
211,USA,Nueva York,EWR,Newark Int.,"USA, Nueva York, Newark Int."
212,USA,Portland,PDX,International,"USA, Portland, International"
213,USA,San Francisco,SFO,International,"USA, San Francisco, International"
214,USA,San Francisco,OAK,Metropolitan Oakland,"USA, San Francisco, Metropolitan Oakland"
215,USA,Seattle,SEA,Seattle-Tacoma Int.,"USA, Seattle, Seattle-Tacoma Int."
216,USA,Washington,IAD,Dulles Int.,"USA, Washington, Dulles Int."
217,USA,Washington,DCA,Reagan Int.,"USA, Washington, Reagan Int."
218,USA,Washington,BWI,Baltimore/Washington Int.,"USA, Washington, Baltimore/Washington Int."
219,Venezuela,Caracas,CCS,Simón Bolívar,"Venezuela, Caracas, Simón Bolívar"
220,Venezuela,Maracaibo,MAR,La Chinita,"Venezuela, Maracaibo, La Chinita"
221,Venezuela,Porlamar,PMV,Del Caribe,"Venezuela, Porlamar, Del Caribe"
222,Yugoslavia,Belgrado,BEG,Belgrade,"Yugoslavia, Belgrado, Belgrade"
